Comment,Designator,Footprint,LCSC
"4u7","C1","Capacitor_SMD:C_0402_1005Metric","C23733"
"4.7n","C13","Capacitor_SMD:C_0402_1005Metric","C1538"
"100p","C14,C15","Capacitor_SMD:C_0402_1005Metric","C1546"
"10u","C16","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A","C110055"
"100n","C2,C4,C7,C10,C12,C17,C18,C19","Capacitor_SMD:C_0402_1005Metric","C1525"
"100n","C20","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A","C122257"
"C_Polarized_Small","C22,C23","Capacitor_SMD:C_0603_1608Metric","C962635"
"12p","C3,C6","Capacitor_SMD:C_0603_1608Metric","C1642"
"1u","C5","Capacitor_SMD:C_0402_1005Metric","C52923"
"10n","C8,C21","Capacitor_SMD:C_0402_1005Metric","C15195"
"2u2","C9,C11","Capacitor_SMD:C_0603_1608Metric","C23630"
"BLU","D1","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","C130724"
"GRN","D2","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","C130719"
"RED","D3","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","C434445"
"TYPE-C-31-M-12","J4","TYPE-C-31-M-12:HRO_TYPE-C-31-M-12","C165948"
"Jumper_2_Open","JP1,JP2","Connector:my_2_pin",""
"39n","L1","Inductor_SMD:L_0402_1005Metric","C26443"
"10k","R1,R2","Resistor_SMD:R_0402_1005Metric","C140214"
"5.1k","R10,R11","Resistor_SMD:R_0402_1005Metric","C105872"
"60 ohm","R3,R4","Resistor_SMD:R_0402_1005Metric","C60310"
"20k","R5,R7,R9","Resistor_SMD:R_0402_1005Metric","C25765"
"47R","R6","Resistor_SMD:R_0402_1005Metric","C25118"
"1k","R8,R12","Resistor_SMD:R_0402_1005Metric","C11702"
"STM32F405RGTx","U1","Package_QFP:LQFP-64_10x10mm_P0.5mm","C15742"
"MAX3051EKA+T","U2","Package_TO_SOT_SMD:SOT-23-8","C112005"
"LM1117-3.3","U3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C126027"
"HT7550-1","U5","Package_TO_SOT_SMD:SOT-89-3","C16106"
"Crystal_GND24","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C518154"